tab	sites
site	location	age	age_sigma	age_unit	analysts	citations	criteria	description	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	geologic_classes	geologic_types	int_abs	int_abs_sigma	int_abs_sigma_perc	int_n_samples	lat	lithologies	lon	magic_method_codes	method_codes	result_quality	result_type	samples	software_packages	specimens	vadm	vadm_n_samples	vadm_sigma	vdm	vdm_n_samples	vdm_sigma	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n_samples
mc130	McMurdo	7.251	0.035	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.3		150.5	46.1	405.9	6.0	6.0				5.9877	0.0							-78.21		166.579	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc130a2 : mc130b1 : mc130d1 : mc130e1 : mc130g2:mc130a1							1.0	6.4	-37.5	313.1	6.0
mc130						This study																																									
mc131	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	22.3	-58.1	526.8	8.0		8.0	0.0	n	7.9867	0.0	Extrusive:Igneous	Lava Flow					-78.214	Basalt	166.57299999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1:mc131a3											
mc131	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															1.679e-05	8.906999999999999e-07	5.303999999999999	5.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc131c : mc131d : mc131e : mc131g:mc131b	pmagpy-2.60	mc131c2 : mc131d2 : mc131e1 : mc131g1:mc131b1											
mc131	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.4		22.3	-58.1	526.8	8.0	8.0				7.9867	0.0							-78.214		166.57299999999998	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc131b1 : mc131c2 : mc131d2 : mc131e1 : mc131f1 : mc131g1 : mc131k1:mc131a3							0.9	4.6	49.5	193.7	8.0
mc131	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															1.679e-05	8.906999999999999e-07	5.303999999999999	5.0	-78.214		166.57299999999998	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc131c : mc131d : mc131e : mc131g:mc131b	pmagpy-2.60	mc131c2 : mc131d2 : mc131e1 : mc131g1:mc131b1	2.206e+22	5.0	1.17e+21	2.943e+22	5.0	1.561e+21					
mc131						This study																																									
mc132	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.0	A	6.3	38.3	195.4	6.0		4.0	2.0	t	5.9795	0.0	Extrusive:Igneous	Lava Flow					-78.206	Basalt	166.55200000000002	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1:mc132a1											
mc132	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															3.2939999999999997e-06	1.438e-07	4.365	7.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc132f : mc132g : mc132h : mc132i : mc132j : mc132k:mc132e	pmagpy-2.60	mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1:mc132e2											
mc132	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.0		6.3	38.3	195.4	6.0	6.0				5.9795	0.0							-78.206		166.55200000000002	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc132c1 : mc132d1 : mc132e2 : mc132g2 : mc132l1:mc132a1							1.3	9.7	-9.8	172.5	6.0
mc132	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															3.2939999999999997e-06	1.438e-07	4.365	7.0	-78.206		166.55200000000002	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc132f : mc132g : mc132h : mc132i : mc132j : mc132k:mc132e	pmagpy-2.60	mc132f2 : mc132g2 : mc132h2 : mc132i2 : mc132j1 : mc132k1:mc132e2	4.327e+21	7.0	1.889e+20	7.187e+21	7.0	3.138e+20					
mc132						This study																																									
mc133	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.4	A	36.3	-85.7	235.0	6.0		6.0	0.0	n	5.9787	0.0	Extrusive:Igneous	Lava Flow					-78.199	Trachyte	166.584	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2											
mc133	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															4.6299999999999994e-05	3.454e-06	7.46	2.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc133g:mc133f	pmagpy-2.60	mc133g1:mc133f1											
mc133	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.4		36.3	-85.7	235.0	6.0	6.0				5.9787	0.0							-78.199		166.584	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc133d1 : mc133f1 : mc133f2 : mc133h1 : mc133j1:mc133b2							12.0	8.5	83.0	300.6	6.0
mc133	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															4.6299999999999994e-05	3.454e-06	7.46	2.0	-78.199		166.584	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc133g:mc133f	pmagpy-2.60	mc133g1:mc133f1	6.083e+22	2.0	4.537e+21	6.036e+22	2.0	4.503e+21					
mc133						This study																																									
mc134	McMurdo	9.02	0.025	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	12.5	-84.3	886.4	5.0		5.0	0.0	n	4.9955	0.0	Extrusive:Igneous	Lava Flow					-78.219	Basalt	166.607	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc134c1 : mc134e1 : mc134f1 : mc134k1:mc134a1											
mc134	McMurdo	9.02	0.025	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.6		12.5	-84.3	886.4	5.0	5.0				4.9955	0.0							-78.219		166.607	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc134c1 : mc134e1 : mc134f1 : mc134k1:mc134a1							5.3	5.0	87.5	273.8	5.0
mc134						This study																																									
mc135	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.8	A	264.1	-77.8	215.3	8.0		8.0	0.0	n	7.9675	0.0	Extrusive:Igneous	Lava Flow					-78.23100000000001	Basalt	166.565	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2:mc135a1											
mc135	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC																4.108e-05	0.0	0.0	1.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc135c	pmagpy-2.60	mc135c2											
mc135	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.8		264.1	-77.8	215.3	8.0	8.0				7.9675	0.0							-78.23100000000001		166.565	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc135b1 : mc135c2 : mc135d2 : mc135e1 : mc135e2 : mc135h2 : mc135i2:mc135a1							3.7	7.4	62.9	46.7	8.0
mc135						This study																																									
mc136	McMurdo	1.99	0.3	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	103.4	18.5	513.7	5.0		4.0	1.0	t	4.9932	0.0	Extrusive:Igneous	Lava Flow					-78.282	Basalt	163.329	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc136c1 : mc136d1 : mc136d2 : mc136e1:mc136a1											
mc136	McMurdo	1.99	0.3	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.5		103.4	18.5	513.7	5.0	5.0				4.9932	0.0							-78.282		163.329	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc136c1 : mc136d1 : mc136d2 : mc136e1:mc136a1							0.7	6.8	-12.0	264.5	5.0
mc136						This study																																									
mc137	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC		8.7	A	71.2	34.2	120.4	5.0		1.0	4.0	t	4.9834	0.0	Extrusive:Igneous	Lava Flow					-78.26100000000001	Basalt	163.257	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc137d1 : mc137h1 : mc137j2 : mc137l1:mc137a1											
mc137						This study																																									
mc138	McMurdo	1.21	0.09	Ma	Lisa Tauxe	This study	DE-SPEC		4.4	A	83.0	12.1	473.2	5.0		1.0	4.0	t	4.9958	0.0	Extrusive:Igneous	Lava Flow					-78.26	Basalt	163.24	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc138b1 : mc138d1 : mc138g1 : mc138h1:mc138a1											
mc138						This study																																									
mc139	McMurdo	0.882	0.04	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.3	A	168.6	79.0	1124.5	5.0		5.0	0.0	r	4.9964	0.0	Extrusive:Igneous	Lava Flow					-78.26	Basalt	163.08	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc139d1 : mc139e1 : mc139h1 : mc139j2:mc139a2											
mc139	McMurdo	0.882	0.04	Ma	Lisa Tauxe	This study	IE-SPEC																1.976e-05	0.0	0.0	1.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc139c	pmagpy-2.60	mc139c1											
mc139	McMurdo	0.882	0.04	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.3		168.6	79.0	1124.5	5.0	5.0				4.9964	0.0							-78.26		163.08	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc139d1 : mc139e1 : mc139h1 : mc139j2:mc139a2							2.5	4.5	-80.0	318.7	5.0
mc139						This study																																									
mc14	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	0.9	-80.8	439.5	8.0		8.0	0.0	n	7.9841	0.0	Extrusive:Igneous	Lava Flow					-77.46	Basalt	169.23	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h:mc14a											
mc14	McMurdo	4.0	4.0	Ma	Lisa Tauxe	This study	IE-SPEC																6.945e-05	1.431e-05	20.61	3.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM			mc14d : mc14h:mc14b	pmagpy-2.60	mc14d : mc14h:mc14b											
mc14	McMurdo	4.0	4.0	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.6		0.9	-80.8	439.5	8.0	8.0				7.9841	0.0							-77.46		169.23	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc14b : mc14c : mc14d : mc14e : mc14f : mc14g : mc14h:mc14a							3.5	5.0	84.6	172.2	8.0
mc14						This study																																									
mc140	McMurdo	2.043	0.045	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.4	A	343.7	-79.2	654.7	7.0		6.0	1.0	n	6.9916	0.0	Extrusive:Igneous	Lava Flow					-78.27600000000001	Basalt	163.004	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1:mc140a1											
mc140	McMurdo	2.043	0.045	Ma	Lisa Tauxe	This study	IE-SPEC																1.746e-05	2.7060000000000004e-06	15.5	4.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc140b : mc140c : mc140d:mc140a	pmagpy-2.60	mc140b1 : mc140c1 : mc140d1:mc140a1											
mc140	McMurdo	2.043	0.045	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.4		343.7	-79.2	654.7	7.0	7.0				6.9916	0.0							-78.27600000000001		163.004	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc140b1 : mc140d1 : mc140e1 : mc140g1 : mc140h1 : mc140j1:mc140a1							2.6	4.7	79.8	128.4	7.0
mc140						This study																																									
mc141	McMurdo	1.31	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.6	A	133.0	83.5	549.9	7.0		7.0	0.0	r	6.9891	0.0	Extrusive:Igneous	Lava Flow					-77.58	Basalt	166.24599999999998	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1:mc141b1											
mc141	McMurdo	1.31	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.6		133.0	83.5	549.9	7.0	7.0				6.9891	0.0							-77.58		166.24599999999998	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc141b2 : mc141c1 : mc141g1 : mc141h3 : mc141k2 : mc141l1:mc141b1							4.9	5.0	-80.0	235.4	7.0
mc141						This study																																									
mc142	McMurdo	1.225	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.0	A	311.9	84.7	585.0	10.0		10.0	0.0	r	9.9846	0.0	Extrusive:Igneous	Lava Flow					-77.851	Trachyte	166.68	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc142c1 : mc142c2 : mc142d1 : mc142e1 : mc142e2 : mc142f2 : mc142i2 : mc142k1 : mc142k2:mc142b2											
mc142	McMurdo	1.225	0.01	Ma	Lisa Tauxe	This study	IE-SPEC																1.563e-05	2.74e-06	17.54	3.0				DA-AC-AARM:IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	DA-AC-AARM: IE-TT : LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc142d : mc142k:mc142c	pmagpy-2.60	mc142d1 : mc142k2:mc142c1											
mc142	McMurdo	1.225	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.0		311.9	84.7	585.0	10.0	10.0				9.9846	0.0							-77.851		166.68	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc142c1 : mc142c2 : mc142d1 : mc142e1 : mc142e2 : mc142f2 : mc142i2 : mc142k1 : mc142k2:mc142b2							4.6	3.9	-69.3	144.1	10.0
mc142						This study																																									
mc143	McMurdo	2.08	0.32899999999999996	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.1	A	29.7	-48.6	172.2	6.0		6.0	0.0	n	5.971	0.0	Extrusive:Igneous	Lava Flow					-78.244	Basalt	162.879	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc143c1 : mc143d2 : mc143g1 : mc143h1 : mc143i1:mc143a1											
mc143	McMurdo	2.08	0.32899999999999996	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.1		29.7	-48.6	172.2	6.0	6.0				5.971	0.0							-78.244		162.879	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc143c1 : mc143d2 : mc143g1 : mc143h1 : mc143i1:mc143a1							1.6	9.9	39.6	196.9	6.0
mc143						This study																																									
mc144	McMurdo	1.25	0.5	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	4.0	A	194.4	79.9	195.5	8.0		7.0	1.0	r	7.9667	0.0	Extrusive:Igneous	Lava Flow					-77.85	Trachyte	166.688	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc144b1 : mc144d1 : mc144e1 : mc144f1 : mc144h2 : mc144j1 : mc144j2:mc144a1											
mc144	McMurdo	1.25	0.5	Ma	Lisa Tauxe	This study	IE-SPEC																1.425e-05	5.946e-06	41.73	4.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc144f : mc144h : mc144k:mc144e	pmagpy-2.60	mc144f1 : mc144h1 : mc144k1:mc144e1											
mc144	McMurdo	1.25	0.5	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	4.0		194.4	79.9	195.5	8.0	8.0				7.9667	0.0							-77.85		166.688	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc144b1 : mc144d1 : mc144e1 : mc144f1 : mc144h2 : mc144j1 : mc144j2:mc144a1							4.8	7.7	-81.6	21.6	8.0
mc144						This study																																									
mc145	McMurdo	1.9	0.06	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	3.5	A	28.6	2.7	378.0	6.0		6.0	0.0	t	5.9868	0.0	Extrusive:Igneous	Lava Flow					-78.24	Basalt	162.893	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1:mc145b1											
mc145	McMurdo	1.9	0.06	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															6.942000000000001e-06	2.1550000000000002e-07	3.105	4.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc145f : mc145k : mc145l:mc145c	pmagpy-2.60	mc145f1 : mc145k2 : mc145l1:mc145c2											
mc145	McMurdo	1.9	0.06	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	3.5		28.6	2.7	378.0	6.0	6.0				5.9868	0.0							-78.24		162.893	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc145f1 : mc145i1 : mc145j1 : mc145k2 : mc145l1:mc145b1							0.7	6.8	9.0	191.9	6.0
mc145	McMurdo	1.9	0.06	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															6.942000000000001e-06	2.1550000000000002e-07	3.105	4.0	-78.24		162.893	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc145f : mc145k : mc145l:mc145c	pmagpy-2.60	mc145f1 : mc145k2 : mc145l1:mc145c2	9.119e+21	4.0	2.831e+20	1.794e+22	4.0	5.569e+20					
mc145						This study																																									
mc146	McMurdo	1.37	0.21	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.6	A	236.3	62.0	117.8	7.0		7.0	0.0	r	6.9491	0.0	Extrusive:Igneous	Lava Flow					-78.22	Basalt	162.963	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1:mc146a1											
mc146	McMurdo	1.37	0.21	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															1.721e-05	7.085e-07	4.118	2.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc146f:mc146e	pmagpy-2.60	mc146f1:mc146e1											
mc146	McMurdo	1.37	0.21	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.6		236.3	62.0	117.8	7.0	7.0				6.9491	0.0							-78.22		162.963	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc146d1 : mc146e1 : mc146f1 : mc146h1 : mc146j1 : mc146k1:mc146a1							2.4	10.8	-48.9	50.1	7.0
mc146	McMurdo	1.37	0.21	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															1.721e-05	7.085e-07	4.118	2.0	-78.22		162.963	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc146f:mc146e	pmagpy-2.60	mc146f1:mc146e1	2.261e+22	2.0	9.308e+20	2.868e+22	2.0	1.181e+21					
mc146						This study																																									
mc147	McMurdo	1.63	0.16	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	2.7	A	220.2	67.4	830.9	5.0		5.0	0.0	r	4.9952	0.0	Extrusive:Igneous	Lava Flow					-78.196	Basalt	162.96200000000002	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc147c1 : mc147i1 : mc147j2 : mc147k2:mc147a1											
mc147	McMurdo	1.63	0.16	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.277e-05	2.539e-06	11.15	4.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM			mc147i : mc147j : mc147k:mc147a	pmagpy-2.60	mc147i1 : mc147j2 : mc147k2:mc147a1											
mc147	McMurdo	1.63	0.16	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	2.7		220.2	67.4	830.9	5.0	5.0				4.9952	0.0							-78.196		162.96200000000002	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc147c1 : mc147i1 : mc147j2 : mc147k2:mc147a1							1.4	5.2	-58.5	35.1	5.0
mc147	McMurdo	1.63	0.16	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															2.277e-05	2.539e-06	11.15	4.0	-78.196		162.96200000000002	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI :LP-PI-TRM		i	mc147i : mc147j : mc147k:mc147a	pmagpy-2.60	mc147i1 : mc147j2 : mc147k2:mc147a1	2.991e+22	4.0	3.335e+21	3.536e+22	4.0	3.943e+21					
mc147						This study																																									
mc148	McMurdo	0.718	0.33	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	5.7	A	282.1	-80.2	140.6	6.0		6.0	0.0	n	5.9644	0.0	Extrusive:Igneous	Lava Flow					-77.492	Basalt	167.24900000000002	DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1:mc148a1											
mc148	McMurdo	0.718	0.33	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															5.156e-05	1.5580000000000002e-06	3.0210000000000004	3.0				IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST :LP-PI-TRM			mc148i : mc148j:mc148d	pmagpy-2.60	mc148i1 : mc148j1:mc148d1											
mc148	McMurdo	0.718	0.33	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	5.7		282.1	-80.2	140.6	6.0	6.0				5.9644	0.0							-77.492		167.24900000000002	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc148b1 : mc148f1 : mc148i1 : mc148j1 : mc148k1:mc148a1							7.3	11.0	69.6	53.9	6.0
mc148	McMurdo	0.718	0.33	Ma	Kristin Lawrence	This study	IE-SITE	Site V [A] DM.															5.156e-05	1.5580000000000002e-06	3.0210000000000004	3.0	-77.492		167.24900000000002	IE-TT:LP-PI-ALT-PTRM:LP-PI-BT-IZZI:SM-TTEST:LP-PI-TRM	IE-TT: LP-PI-ALT-PTRM : LP-PI-BT-IZZI : SM-TTEST :LP-PI-TRM		i	mc148i : mc148j:mc148d	pmagpy-2.60	mc148i1 : mc148j1:mc148d1	6.787e+22	3.0	2.05e+21	6.951e+22	3.0	2.1e+21					
mc148						This study																																									
mc149	McMurdo					This study															Intrusive:Igneous	Volcanic Dike					-77.486	Basalt	167.187																		
mc149						This study																																									
mc15	McMurdo					This study		Hornblende trachyte capping Post Office Hill, Cape Crozier.													Extrusive:Igneous	Lava Flow					-77.47	Basalt	169.23																		
mc15	McMurdo	1.33	0.01	Ma	Lisa Tauxe	This study	DE-SPEC	Direction included in Pmag_Results.	1.8	A	166.3	84.2	819.9	9.0		9.0	0.0	r	8.9902	0.0										DA-DIR-GEO:DE-FM	DA-DIR-GEO:DE-FM				pmagpy-2.60	mc15b : mc15c : mc15c2 : mc15d : mc15e : mc15f : mc15g : mc15h:mc15a											
mc15	McMurdo	1.33	0.01	Ma	Lisa Tauxe	This study	IE-SPEC	Intensity included in Pmag_Results.															2.802e-05	2.569e-06	9.167	3.0				DA-AC-AARM:IE-TT:LP-PI-ALT-PTRM:LP-PI-ZI:LP-PI-TRM	DA-AC-AARM: IE-TT : LP-PI-ALT-PTRM : LP-PI-ZI :LP-PI-TRM			mc15c : mc15h:mc15b	pmagpy-2.60	mc15c : mc15h:mc15b											
mc15	McMurdo	1.33	0.01	Ma	Kristin Lawrence	This study	DE-SITE	Site VGPA comp: (geog. coord).	1.8		166.3	84.2	819.9	9.0	9.0				8.9902	0.0							-77.47		169.23	DE-DI:DE-FM	DE-DI:DE-FM		i		pmagpy-2.60	mc15b : mc15c : mc15c2 : mc15d : mc15e : mc15f : mc15g : mc15h:mc15a							3.9	3.5	-87.0	232.5	9.0
